"uniqid","demfirst","repfirst","female","gender","state","age","educ","race","hispanic","region","pid7","pid3","demrich","demrel","demrace","demsex","demage","demeduc","dememploy","demunion","reprich","reprel","reprace","repsex","repage","repeduc","repemploy","repunion","reprich1","reprel1","reprace1","repsex1","repage1","repeduc1","repemploy1","repunion1","demrich1","demrel1","demrace1","demsex1","demage1","demeduc1","dememploy1","demunion1"
"R_bC9tJGvHaK9wXid",1,NA,"FALSE","Male","Louisiana","18-29","Some college","White/Caucasian","FALSE","south","7","Republican","Middle class","Catholic","White","Woman","36-50","College Educated","Employed","Union Member","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_cT2jRxAsXm7eoEl",1,NA,"FALSE","Male","Florida","18-29","High school degree or equivalent","White/Caucasian","FALSE","south","7","Republican","Middle class","Something else","White","Man","36-50","College Educated","Employed","Union Member","Middle class","Something else","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_bmiC6pDPEzSHtPL",1,NA,"FALSE","Male","New Jersey","18-29","Bachelor's degree","Asian","FALSE","northeast","2","Democrat","Middle class","Catholic","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9MmqWBx0jJR9dQN",NA,1,"FALSE","Male","Virginia","30-49","Bachelor's degree","White/Caucasian","FALSE","south","3","Democrat","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","18-35","College educated","Employed","Not a Union Member"
"R_0TFKAhmuQ0opahD",NA,1,"FALSE","Male","South Carolina","50+","Some college","White/Caucasian","FALSE","south","7","Republican","","","","","","","","","","","","","","","","","Rich","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Born-again/Evangelical Christian","White","Man","18-35","College educated","Employed","Union Member"
"R_cJ5ArfYjTZ7caKF",1,NA,"FALSE","Male","Texas","18-29","High school degree or equivalent","White/Caucasian","FALSE","south","5","Republican","Middle class","Something else","White","Man","18-35","College Educated","Unemployed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","18-35","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_5zHS1YyUqelqqPz",1,NA,"FALSE","Male","Kentucky","18-29","Some college","White/Caucasian","FALSE","south","4","Independent","Poor","Atheist or agnostic","Black or African-American","Man","18-35","Never went to college","Unemployed","Not a Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Union member","","","","","","","","","","","","","","","",""
"R_dpy8RTrjUJLVCmN",NA,1,"TRUE","Female","Massachusetts","30-49","Bachelor's degree","White/Caucasian","FALSE","northeast","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Something else","Black or African-American","Woman","50+","College educated","Employed","Not a Union Member"
"R_bIBxDfweTdqnYWx",1,NA,"FALSE","Male","Florida","30-49","Bachelor's degree","Black/African American","TRUE","south","1","Democrat","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Rich","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_71dMUqrrLZ87Ped",NA,1,"TRUE","Female","Pennsylvania","30-49","Some college","White/Caucasian","FALSE","northeast","7","Republican","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","50+","College Educated","Employed","Union Member","Rich","Jewish","White","Man","50+","College educated","Employed","Not a Union Member"
"R_3CWpN2oKyHRYf5z",1,NA,"FALSE","Male","Georgia","18-29","Some college","White/Caucasian","FALSE","south","4","Independent","Middle class","Atheist or agnostic","Black or African-American","Woman","18-35","Never went to college","Unemployed","Not a Union Member","Middle class","Something else","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_6sWDyl6nKNvm5wN",NA,1,"TRUE","Female","Ohio","30-49","Advanced degree","Asian","FALSE","midwest","2","Democrat","","","","","","","","","","","","","","","","","Poor","Other Protestant Christian","White","Woman","50+","College Educated","Employed","Not a Union Member","Middle class","Catholic","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_3kryC9SDwVZW5vL",NA,1,"TRUE","Female","Arkansas","30-49","Bachelor's degree","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Union Member"
"R_dgawB2pdgqwrkXz",1,NA,"FALSE","Male","Tennessee","30-49","Some college","White/Caucasian","FALSE","south","5","Republican","Poor","Jewish","Black or African-American","Woman","18-35","College Educated","Unemployed","Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_5gTdh8B4FbEBlzv",1,NA,"FALSE","Male","Colorado","18-29","Bachelor's degree","White/Caucasian","FALSE","west","4","Independent","Middle class","Something else","White","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_4ZXgCiAfdR5n4Xj",NA,1,"TRUE","Female","Pennsylvania","50+","High school degree or equivalent","White/Caucasian","FALSE","northeast","4","Independent","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","50+","Never went to college","Unemployed","Not a Union Member","Poor","Catholic","Black or African-American","Woman","18-35","College educated","Employed","Union Member"
"R_7UMq9upG5Vineqp",1,NA,"FALSE","Male","North Carolina","30-49","Bachelor's degree","White/Caucasian","FALSE","south","6","Republican","Middle class","Other Protestant Christian","White","Woman","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_b9NLdQMOVSx2MRf",1,NA,"FALSE","Male","New York","18-29","Some college","White/Caucasian","FALSE","northeast","3","Democrat","Poor","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Union Member","Middle class","Born-again/Evangelical Christian","White","Man","36-50","Never went to college","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_3rwwmRX8SKZ5rdH",NA,1,"TRUE","Female","Virginia","30-49","Some college","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Something else","Black or African-American","Woman","18-35","Never went to college","Employed","Not a Union Member"
"R_1RNTlAHCgqKVq3H",1,NA,"TRUE","Female","Ohio","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","5","Republican","Middle class","Other Protestant Christian","White","Woman","36-50","College Educated","Employed","Not a Union Member","Rich","Catholic","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_1MOVLDi2Q80wADz",1,NA,"TRUE","Female","Texas","18-29","Some college","Black/African American","FALSE","south","1","Democrat","Middle class","Born-again/Evangelical Christian","Black or African-American","Woman","50+","College Educated","Employed","Union Member","Middle class","Born-again/Evangelical Christian","White","Woman","36-50","College educated","Unemployed","Union member","","","","","","","","","","","","","","","",""
"R_5ing5SeNO1UxaYt",1,NA,"TRUE","Female","New York","30-49","Bachelor's degree","White/Caucasian","FALSE","northeast","4","Independent","Middle class","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Rich","Jewish","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_bHKPhVcffTc3ekd",1,NA,"FALSE","Male","Missouri","18-29","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","Middle class","Other Protestant Christian","White","Woman","36-50","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_cPcMCwR1PpyTwxv",NA,1,"FALSE","Male","Idaho","18-29","Some college","White/Caucasian","FALSE","west","4","Independent","","","","","","","","","","","","","","","","","Rich","Born-again/Evangelical Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Rich","Other Protestant Christian","White","Man","36-50","College educated","Employed","Not a Union Member"
"R_9t5gytN5vJKWI7j",1,NA,"FALSE","Male","Texas","18-29","Some college","More than one race","FALSE","south","3","Democrat","Middle class","Atheist or agnostic","Black or African-American","Man","18-35","College Educated","Employed","Not a Union Member","Middle class","Catholic","Asian","Woman","36-50","Never went to college","Unemployed","Union member","","","","","","","","","","","","","","","",""
"R_79yu2DqHpwjlO4t",1,NA,"TRUE","Female","Michigan","30-49","Advanced degree","White/Caucasian","FALSE","midwest","5","Republican","Rich","Atheist or agnostic","White","Woman","50+","College Educated","Employed","Union Member","Middle class","Born-again/Evangelical Christian","White","Woman","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_aVnMrIe3Z8cLIyN",NA,1,"TRUE","Female","Texas","18-29","Some college","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Rich","Atheist or agnostic","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","White","Man","36-50","Never went to college","Employed","Not a Union Member"
"R_0ILy3p1rd7fJ1YN",NA,1,"TRUE","Female","New York","50+","Some college","White/Caucasian","FALSE","northeast","7","Republican","","","","","","","","","","","","","","","","","Middle class","Something else","White","Man","36-50","College Educated","Unemployed","Union Member","Middle class","Something else","Asian","Man","36-50","College educated","Employed","Not a Union Member"
"R_8vPa8mz89HL5Svz",NA,1,"TRUE","Female","Tennessee","50+","Some college","White/Caucasian","FALSE","south","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Something else","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Something else","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_0IH1Kw1lmTLJ8Xj",1,NA,"TRUE","Female","Wisconsin","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","6","Republican","Poor","Born-again/Evangelical Christian","Black or African-American","Woman","18-35","Never went to college","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_egQDHmtKYOUQocZ",NA,1,"FALSE","Male","Ohio","50+","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","","","","","","","","","","","","","","","","","Middle class","Born-again/Evangelical Christian","White","Man","50+","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Woman","36-50","College educated","Employed","Not a Union Member"
"R_8GHmFqqlm2DbvZb",1,NA,"FALSE","Male","North Carolina","30-49","Advanced degree","White/Caucasian","FALSE","south","7","Republican","Poor","Other Protestant Christian","Black or African-American","Woman","36-50","Never went to college","Unemployed","Union Member","Middle class","Catholic","White","Man","18-35","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9phnBtToOLDuK9v",1,NA,"FALSE","Male","Colorado","18-29","Some college","White/Caucasian","FALSE","west","4","Independent","Middle class","Other Protestant Christian","White","Man","18-35","College Educated","Employed","Not a Union Member","Rich","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_86UQUIINU6sdqzH",1,NA,"FALSE","Male","Michigan","30-49","Bachelor's degree","White/Caucasian","FALSE","midwest","6","Republican","Middle class","Other Protestant Christian","White","Woman","18-35","College Educated","Employed","Union Member","Middle class","Catholic","White","Man","36-50","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_9FvcFj0ebw6Oz09",1,NA,"FALSE","Male","Missouri","18-29","Bachelor's degree","White/Caucasian","FALSE","midwest","1","Democrat","Middle class","Atheist or agnostic","White","Woman","18-35","College Educated","Employed","Not a Union Member","Middle class","Other Protestant Christian","White","Man","50+","College educated","Employed","Not a union member","","","","","","","","","","","","","","","",""
"R_d5dbmrakYIIlBwV",NA,1,"TRUE","Female","Florida","18-29","Some college","White/Caucasian","FALSE","south","6","Republican","","","","","","","","","","","","","","","","","Rich","Other Protestant Christian","White","Man","36-50","College Educated","Employed","Not a Union Member","Middle class","Atheist or agnostic","Black or African-American","Man","18-35","Never went to college","Unemployed","Union Member"
"R_0pIAkLhegMVtvJr",NA,1,"FALSE","Male","Washington","18-29","Some college","White/Caucasian","FALSE","west","7","Republican","","","","","","","","","","","","","","","","","Middle class","Catholic","White","Man","18-35","College Educated","Employed","Not a Union Member","Poor","Atheist or agnostic","White","Man","50+","Never went to college","Employed","Union Member"
